,Al,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,PhaseType,TestTempC,Strain Rate (s-1),Anneal Cooling Rate (degC/min),Arc Melting,HIP Time (h),Anneal Time (h),Anneal Temp (degC),Initial condition
0,0.0863690378234141,0.06670378215245987,0.03713206681984757,0.10416052804504311,0.15412862501881586,0.14160504868902973,0.07891480528417223,0.15955173895188893,0.17143436721532862,BCC+HCP,-103.0,0.00015,10.0,1,3,24.0,1000,As-cast
1,0.14670048855903772,0.11511300036349935,0.16771962875669283,0.020242137496334724,0.16236484263401302,0.021218748913057955,0.12539425556316325,0.07153039584216703,0.16971650187203427,2 BCC+HCP,60.0,0.1,100.0,0,3,0.5,1100,MA/SPS
2,0.02266214313703582,0.06361402359320718,0.17007676371393077,0.2666236072128202,0.07376769696540027,0.20098828606438343,0.10474040016595093,0.08004720417034174,0.017479874976929648,BCC+B2,800.0,0.00056,4.2,1,1,168.0,25,MA/SPS
3,0.048914287829682955,0.031138443646226213,0.14270036832749414,0.03931864616010539,0.2804012086868799,0.12428479575166854,0.18397873121101455,0.13909680220165566,0.010166716185272786,BCC+laves+M5Si3,60.0,0.0003,10.0,1,4,6.0,800,Annealed
4,0.16732473904965306,0.1657327062200786,0.1401651533203854,0.16162246188961082,0.054653285673960036,0.02763265322403272,0.01777480738229903,0.08511851781440113,0.1799756754255792,2 BCC+laves,1300.0,1e-05,4.2,1,1,19.0,700,MA/SPS
5,0.05683811411156498,0.11282446577240242,0.22443514200752196,0.05715055199089079,0.25783297978133896,0.07898568947895698,0.16085193205633724,0.03474032648453027,0.016340798316456403,BCC+B2,1200.0,0.0003,4.2,1,3,1.0,500,Annealed
6,0.12588649409962552,0.06209106397224962,0.1210924123505266,0.13610864952965449,0.08624625370717058,0.09826990616630643,0.17362575269704292,0.09286329090426876,0.1038161765731551,BCC+B2,1400.0,0.000167,10.0,1,3,6.0,800,As-cast
7,0.08026940348189646,0.22630798516893127,0.13428948342235916,0.03137070412320149,0.20418367333097381,0.0508165609525107,0.13772079067907778,0.007535757684892543,0.12750564115615687,BCC,72.0,0.0001,15.0,0,2,4.0,997,Annealed
8,0.08254845963752042,0.171178709028616,0.2242320849100976,0.06746180607832869,0.003824415318564709,0.0010339388859607122,0.15609958840262048,0.1537859924457653,0.13983500529252604,2 BCC,400.0,0.0001,10.0,1,4,19.0,25,Annealed
9,0.11059979241013398,0.20016884198608564,0.16047753166323384,0.11572959843324254,0.09534189326852165,0.05514218429722087,0.10474868082950277,0.05928686869613236,0.09850460841592641,B2,-268.8,0.00056,20.0,0,1,0.5,1400,As-cast
10,0.1366233816836551,0.2002365338600815,0.1404937533450128,0.16638743961980615,0.07810695441206768,0.10282709448833535,0.04863791240941832,0.024662711174058355,0.10202421900756466,BCC+B2,-43.0,0.01,4.2,0,4,24.0,700,Annealed  
11,0.006189050864977447,0.13320445055399183,0.003995812575741372,0.17591024313290077,0.05622311388024089,0.02381045253146565,0.28598519694785296,0.2925204173227223,0.0221612621901068,BCC,200.0,0.000167,10.0,0,2,24.0,1250,MA/SPS
