Model,R2_train_mean,R2_train_std,R2_test_mean,R2_test_std,MAE_train_mean,MAE_train_std,MAE_test_mean,MAE_test_std,MSE_train_mean,MSE_train_std,MSE_test_mean,MSE_test_std
Linear Regression,0.8161610040819374,0.025235639570700703,0.5501547131980603,0.20077038112338685,43.90850803760141,3.024942240804875,63.15792608639314,5.324268335992951,3166.4001189519304,275.2606530678447,6842.289211715857,1760.2928471608996
Ridge Regression,0.6466118892177927,0.027219829821290828,0.5277285034354324,0.05992475369688707,62.00459623564541,1.7857482916503544,72.53197952738054,9.219352123054135,6103.259473667332,183.2120948237472,7969.012344589615,2115.6455169857963
Lasso Regression,0.8148287214857444,0.02548011589389454,0.5659676561733311,0.18739576766702248,44.540807713439186,3.0133200498587502,62.764582293732914,4.84541282412921,3189.2679652481847,277.9523170140024,6625.350730166441,1730.5807578308497
Elastic Net Regression,0.43967766096028293,0.017168696636037352,0.3599477150140638,0.0668686775061213,73.09041584404179,3.252969868361382,79.62746994450195,15.268125312182647,9710.688529080326,535.4191757674955,11102.67889540703,3914.4237862715568
SVR,0.00788927661788592,0.0047884494602009695,3.340666686333371e-05,0.014422154017076269,91.40616279501884,3.5727694469027704,91.71079775292135,14.365598067310092,17230.91146525722,1359.8470613188447,17207.16566352933,5316.794836330403
NuSVR,-0.003831415490384771,0.006399777553751626,-0.01164599818057146,0.027361508258162047,92.25605487809915,3.2546382773092395,92.16393774190469,14.514396649352454,17429.62736046178,1310.7374407293908,17467.73718444219,5585.164588526461
Linear SVR,-10.0975369198534,0.7077842662717603,-11.56069903790671,3.0140104563873855,417.29830389958533,2.6256749527497694,427.3410354683423,12.633397434939019,191768.36810269524,3230.929826779161,201167.02671829506,15550.360051101137
Decision Tree Regression,0.9792155682538866,0.006375834737682511,0.44920514538947537,0.25336314531758414,6.585927927927928,1.586354158157722,63.12659356725146,18.38714347251437,355.4998983783783,102.15987454022404,9530.358153143276,5368.542100629617
K-Nearest Neighbors Regression,0.6476545590499537,0.056505185901157676,0.29911619111601345,0.4617538610234012,57.17183495495497,3.2869851383488853,77.44182456140352,16.375520026036266,6070.991722018019,781.3278984470974,10339.790525847955,4133.708618653163
Kernel Ridge Regression,0.3380640238850288,0.04749357012969304,0.12605683022777225,0.08824693192931128,82.3425930839332,0.8848576961514075,95.55328020160167,12.029220085072206,11431.322634015607,113.97931383992346,14761.570573113038,3857.3128180776134
MLP Regression,-1.5024739890967695,0.1075851520845133,-2.265962759534841,0.7502325562494658,167.85018485258766,2.479091503154102,192.45149542303514,20.918151804030334,43326.070958440556,1931.4102635636384,53439.99408695862,11473.514325202346
Passive Aggressive Regression,0.3979415066158022,0.06655417709399954,0.29262252806473155,0.11123876731905495,70.35828303444073,2.356237036509496,82.88358527520991,14.969171548184844,10402.978412740811,971.0765540496154,12446.122477124914,5079.089925093164
RANSAC Regression,-1.2223608566913886,1.7117157733134651,-0.9152892682865211,2.8722521660650915,72.67546538833821,12.092861063015144,86.13229009423844,37.68997781435664,39838.72233969463,32253.915427162643,22690.50011337712,27923.361706450465
Huber Regression,0.8009677575327135,0.02797653726659341,0.5814431939844507,0.20968214440945449,41.149765760332315,2.546967487589326,59.47454456557259,7.580079690974757,3428.356196398848,317.7021922458211,6346.328056817248,2228.0723934194316
Tweedie Regression,0.20165542009381293,0.017062985358576647,0.15786755849789003,0.07390498403439179,84.58967655452024,4.242658679000078,87.77632578936337,17.03068608641741,13868.140491748642,1158.3054456186653,14633.431469100038,5077.0843447466295
Poisson Regression,0.8125444512367832,0.024233990981684394,0.6260749848913727,0.13325475496975936,46.231227828896955,2.0047150689676916,61.24560958561682,5.489479794338497,3227.9054225502764,225.62257293650293,5875.323406894967,1454.9125301285565
Theil-Sen Regression,0.6114852962917439,0.09616595820846664,0.3290068488341357,0.240341497398171,60.84878301623378,4.036479115920205,77.85200390825366,6.831269077482036,6642.687609101986,1164.459107228107,10558.593926195123,2682.680077672573
Deep Neural Network Regression,0.9552100125895056,0.011571098242780345,0.5911619856765784,0.19162964956771114,20.26521058404596,3.926877568565959,59.40896475451732,8.748199642903634,773.7165861104056,204.7795217672655,6226.151891011481,1130.9409300687425
