Model,R2_train_mean,R2_train_std,R2_test_mean,R2_test_std,MAE_train_mean,MAE_train_std,MAE_test_mean,MAE_test_std,MSE_train_mean,MSE_train_std,MSE_test_mean,MSE_test_std
Linear Regression,0.7265112470289081,0.09063191924123301,-2.6035643590723563,2.6327088251850057,2.5768597879423574,0.661701327060436,6.132482610422472,2.4041034949015323,14.538425601056266,5.925975627779186,89.65427836613756,56.55750154313991
Ridge Regression,0.5851916176095864,0.06722132214739893,-0.7206875920907916,2.2121840366919474,3.3171246351423376,0.5863031201496499,4.253246004278713,2.433098818452391,21.454734639403622,6.430746734046924,38.09694265562946,38.40517330581777
Lasso Regression,0.6269521107419662,0.09135694419104816,-0.701516373132059,2.0770337947977873,3.0632856032328606,0.6020127947032714,4.356773620591041,2.282167832495947,19.5396859762459,6.824914619339075,39.743402980554585,40.21538501367267
Elastic Net Regression,0.538499839332864,0.05544013729923832,-0.7824351824128085,2.312564958908026,3.4588802314295917,0.5875852889220365,4.258945271898993,2.414259900330846,23.75859867456966,6.667649559399741,38.28306496012486,37.312041277597
SVR,0.2015759569567706,0.053337348119575,0.2802850004952049,0.3029170167930285,2.8439463188140555,0.5166517983205721,3.1037812089222228,2.114306154275567,40.87281972313262,10.76140599365096,43.11970276404324,42.986731915747654
NuSVR,0.207812477893042,0.03780639013988295,0.09430817039125797,0.18773397717123566,3.0888127738524664,0.6153822952456117,3.375085815786028,1.8899044698361742,40.28170967383012,9.538340273915844,44.156294621850556,43.824999439795846
Linear SVR,0.2805190013234481,0.0609440336651791,-0.03268689380284551,0.6157289703748144,3.1566432083529388,0.49562681017891913,3.578416664800135,1.9749912415137132,36.65424419449008,9.24323131394181,41.39777851936953,41.50858663205251
Decision Tree Regression,0.9999961887950946,2.322044943547588e-06,0.04766424314463209,0.7453300717342222,0.004351728059001782,0.0012993946251277128,2.546608217581945,1.2885620565256044,0.0001708961810925018,8.356881296475221e-05,32.59264216678709,17.87620191061745
K-Nearest Neighbors Regression,0.6010467824042398,0.03567411230401071,-0.8701859104771742,1.9153784973931767,2.10866378487344,0.2986488367425251,2.9556226851377776,1.0365316767055026,20.08164999830413,4.405510713258653,38.63642308025021,24.925239732429887
Kernel Ridge Regression,0.5599107960546227,0.0621890072125009,-0.7827956957781551,2.2455029508820323,3.3201403797692635,0.6055615719028334,4.395972618629295,2.326196710964922,22.71525810834753,6.602725722805218,41.72941133496781,42.54342303981042
MLP Regression,0.897480375212415,0.04760981980903912,-0.37419480344469974,1.5778914596955493,1.0367363713255406,0.33912652241697777,3.1472112621014725,1.7648997933334694,5.409321720758063,2.4451281562469496,31.96872564389045,34.70245249559968
Passive Aggressive Regression,0.4694762738080459,0.12300721860393683,0.10241874756987038,0.6962820073376607,3.0359846471241996,0.4207870458781004,3.520999643353676,2.2813421968810825,27.81051965557611,10.12616746970136,33.35557021314274,40.242621796277156
RANSAC Regression,0.23353795906942088,0.20885413688119178,-1.3621542913329165,1.6660506776251505,2.202444392443145,0.3995543323432373,3.9802317457843883,2.234316716418462,38.17736192902741,9.886521947510365,65.70162715754739,55.36135946073451
Huber Regression,0.49552264010049385,0.15992233909966888,-0.31891986713805076,0.7419730729675533,1.9278123617194596,0.4468152498191693,3.651079097936288,1.6116661978141187,27.104154166091927,11.885094398962837,44.15182456492964,45.42300407984995
Tweedie Regression,0.4420147388115968,0.020149187490291903,-0.36442096034361937,1.5862989850448788,3.452168059489805,0.48501776005652364,3.7057855316186155,1.95265730235026,28.3484047914609,6.566627812862467,35.03445735453052,34.42806623169751
Poisson Regression,0.5956538394703739,0.04927202117641279,-0.16072524017542758,1.202510432285843,2.8355784489384424,0.47095937584776565,3.411046706067446,2.1348993333842547,20.85567162020326,6.035438403614068,35.54984977016034,36.9899070667902
Theil-Sen Regression,0.6539367025440828,0.06752913662272002,-0.4685153834403465,1.6580973566702808,2.8127282318282707,0.6293508414719735,4.044204979329284,1.8210914658112831,18.005723221019288,5.783065205879607,39.36317596665909,41.35214051452571
Deep Neural Network Regression,0.9854876885682969,0.010805187502104853,-0.067159004109741,0.9026512128802879,0.4721028651166156,0.13537113070763793,3.303971924498822,2.1131152556471684,0.6484804485672637,0.3898963358488976,39.330766176148245,33.83187033315132
