,YieldStr(MPa),Ductility (%),Hardness (HV),oxidation
0,4203.1484,3.6786919,370.23312,0.18242057
1,5051.47,4.005989,219.51062,0.15917228
2,5527.3237,2.513415,248.4078,0.15784982
3,4215.8154,18.376884,269.52844,4.6550884
4,4679.14,2.677051,362.07382,8.529744
5,4620.862,4.1556206,236.12546,0.1952413
6,2021.5682,23.932556,364.50757,0.16135961
7,2312.3208,2.1368213,369.50208,0.15692605
8,1445.8213,59.835735,266.5744,0.19455813
9,2720.7234,37.049362,305.5035,1.3288347
10,4334.2544,6.2753105,344.48862,0.23252976
11,3133.9045,61.609337,242.51942,0.20975354
12,3784.0093,27.932375,296.3416,0.31337935
13,4029.4055,11.982419,259.15756,0.18306264
14,4334.3584,3.6657097,201.95795,0.14308076
15,5107.6084,4.574675,272.15573,0.24405894
16,1342.9846,120.615974,256.73694,0.3155554
17,1770.7651,120.63737,242.92989,1.2709066
18,947.53284,93.003845,216.45468,0.15537886
19,1197.7416,14.908738,336.21286,0.15020792
20,971.0294,14.222606,219.62892,0.14289498
21,2402.3596,1.1942722,425.8225,2.0767412
22,1160.1359,53.20131,298.7825,0.1520108
23,1737.1157,78.22075,192.61394,0.21265452
24,4227.9873,8.92253,177.74742,0.21228778
25,1061.3676,25.05273,346.93884,0.16629328
26,3877.6152,8.97778,419.3665,0.17854588
27,3495.0156,31.495272,283.99316,0.15229568
28,1752.1846,9.619095,383.37408,0.23403886
29,3743.4348,22.832207,271.7106,0.1431814
30,1203.2192,51.753387,316.4155,0.22414875
31,2561.9817,79.534836,234.54472,0.30185375
32,1826.172,41.76212,306.60522,0.17614284
33,3815.1868,33.880817,267.97916,0.1560887
34,1531.2035,47.71896,341.42212,2.2203963
35,5496.3706,2.8054578,307.29855,0.14390515
36,1093.8448,83.4455,316.5508,0.18196198
37,4763.5005,2.991167,237.58105,0.15636732
38,3427.6907,43.11454,242.70784,0.37385565
39,1457.9696,1.289921,203.60216,0.12524107
40,1037.2196,83.71162,222.27237,0.14396816
41,1197.6316,101.71278,235.27087,0.15706919
42,5257.7207,2.689024,247.36137,0.1431814
43,1416.7466,44.720623,281.5427,0.1812323
44,1786.8313,50.326073,295.47083,12.496876
45,1003.7518,7.136858,328.5812,0.1431814
46,3989.5159,23.045565,312.64615,0.3154251
47,2121.5786,2.225254,362.1347,0.1431814
48,1759.229,48.64721,307.57736,0.404051
49,4463.627,3.7200353,384.1604,5.3607674
50,2596.6506,48.10162,212.76442,0.15328549
51,1676.8464,43.116325,310.78635,0.18495546
52,1866.1992,51.978924,280.80472,0.22367966
53,4725.9863,13.127334,269.9107,0.28328323
54,1314.0524,43.035187,268.08844,0.15611234
55,1092.8417,30.9198,349.79077,0.44336927
56,3397.8132,51.342762,219.70518,0.2020443
57,3644.907,35.43653,274.36975,0.19778213
58,5793.019,2.0360775,338.7787,0.16655068
59,1583.1957,69.74531,242.83705,0.16805807
60,5009.6294,5.7500143,203.99492,0.18209404
61,1467.0748,113.41623,271.22668,9.941676
62,3582.0044,66.951515,239.75508,0.49656135
63,4514.081,5.5564356,372.0589,0.2037286
64,1174.3887,19.387959,379.04868,0.22863993
65,4284.0244,3.1394176,380.0894,0.17812239
66,1356.5476,107.8518,269.07532,0.205408
67,1449.8278,52.95139,293.4917,0.18324915
68,4641.9087,4.51788,281.82443,0.27815923
69,2965.83,51.936756,199.3649,0.19038841
70,5715.123,2.3084328,263.5042,0.16794388
71,3724.3325,37.756443,243.47496,0.1437322
72,1790.4094,41.378956,325.48148,0.1987086
73,4537.6104,4.0546913,379.32993,0.19894901
74,4951.398,4.0355477,263.07568,0.16317582
75,952.677,51.382732,408.27112,0.24598634
76,1591.5258,54.53614,320.17285,0.756058
77,3439.3894,6.106082,324.43124,0.17834541
