,Al,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,PhaseType,TestTempC,Strain Rate (s-1),Arc Melting,HIP Time (h),Anneal Temp (degC),Anneal Time (h),Anneal Cooling Rate (degC/min)
157,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,-2.81011902640099,1.311967115474019,-0.022235553920505628,0.3039024315435615,1.5355442385058846,0.8655359748772343,0.7551096659914353,-0.22572100252917138
73,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,-0.15299752107903378,1.311967115474019,-0.18886456531197246,0.3039024315435615,-0.48630479722355274,0.8655359748772343,0.7551096659914353,4.483028387980032
82,0.2,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0,-0.15299752107903378,1.7444759872024491,-0.022235553920505628,0.3039024315435615,-0.48630479722355274,1.0273042953326,0.5283369523965157,-0.5291737410286533
57,0.1,0.4,0.1,0.2,0.0,0.2,0.0,0.0,0.0,0.8434230434166998,1.311967115474019,-0.18886456531197246,0.3039024315435615,-0.48630479722355274,0.8655359748772343,0.7551096659914353,-0.22572100252917138
33,0.06,0.28,0.0,0.0,0.26,0.2,0.0,0.0,0.2,0.17914266708621074,1.311967115474019,-0.022235553920505628,0.3039024315435615,1.5355442385058846,0.8655359748772343,0.7551096659914353,-0.22572100252917138
39,0.1,0.3,0.04,0.0,0.2,0.2,0.0,0.0,0.16,0.17914266708621074,1.311967115474019,-0.022235553920505628,0.3039024315435615,1.5355442385058846,0.8655359748772343,0.7551096659914353,-0.22572100252917138
211,0.0,0.24999999970625,0.125000000440625,0.0,0.0,0.24999999970625,0.125000000440625,0.24999999970625,0.0,1.8398436079124334,1.7444759872024491,-0.022235553920505628,-3.2905297760233916,-0.48630479722355274,-1.0352417904733107,-0.6055266155780821,-0.22572100252917138
208,0.0,0.25,0.125,0.0,0.0,0.25,0.125,0.25,0.0,1.8398436079124334,1.7444759872024491,-0.022235553920505628,-3.2905297760233916,-0.48630479722355274,-1.0352417904733107,-0.6055266155780821,-0.22572100252917138
153,0.0,0.2,0.4,0.0,0.2,0.2,0.0,0.0,0.0,-1.481558273740012,1.311967115474019,-0.022235553920505628,0.3039024315435615,1.5355442385058846,0.8655359748772343,0.7551096659914353,-0.22572100252917138
145,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.8434230434166998,1.311967115474019,-0.022235553920505628,0.3039024315435615,1.5355442385058846,0.8655359748772343,0.7551096659914353,-0.22572100252917138
