,YieldStr(MPa),Ductility (%),Hardness (HV),oxidation
0,1480.4225,45.288235,370.23312,0.1880632
1,3233.0073,111.65187,201.47972,0.39308006
2,4626.4023,80.50071,196.52798,0.32055736
3,2554.5322,13.764828,279.20087,0.1880632
4,4166.9546,44.066364,188.21732,0.22425048
5,2097.8572,49.846565,378.6768,0.25653204
6,1991.1799,3.9414666,384.64542,0.27221256
7,108.2799,272.91855,182.39589,7.0168366
8,4271.587,115.280594,177.71219,2.139315
9,3244.9197,85.495384,197.20335,0.19570047
10,3956.0608,66.03677,205.99603,0.24347177
11,2833.4065,109.976875,296.80865,0.2287573
12,1256.4834,107.050804,299.69012,0.20649335
13,2459.3076,160.17319,254.65677,2.6229491
14,1709.9763,25.460276,425.8225,1.7238271
15,4778.3135,0.47806802,310.3436,0.3959824
16,4845.5845,62.87968,203.16316,0.34171125
17,806.70026,175.35368,204.92644,1.244729
18,3945.9094,52.491257,198.81741,0.21944992
19,2861.5505,140.18417,190.94609,3.4363422
20,1898.3422,178.3549,323.15784,28.720758
21,2458.8984,144.71971,419.3665,0.6646589
22,2357.05,101.79751,329.35104,0.62967545
23,2824.0347,1.3076031,297.54034,0.1880632
24,197.29305,179.23878,382.81424,34.174797
25,2736.4424,126.68067,246.3729,4.055453
26,898.0677,175.29782,226.37595,0.98386306
27,2594.456,98.37779,255.38293,0.21258971
28,959.60126,153.04462,286.73672,0.42276978
29,5812.9907,56.037994,190.59914,0.4727093
30,270.5044,172.84944,264.44705,1.5722327
31,1546.7756,129.8568,328.3051,0.3489935
32,2484.2642,138.09424,267.97916,3.480979
33,1614.2206,6.2199755,341.42212,0.1880632
34,908.36896,193.07211,178.86221,0.3660502
35,1919.241,162.05789,292.96478,1.1345816
36,5177.19,42.514374,301.83273,0.22501117
37,5286.772,51.073322,193.1939,0.32867873
38,2597.3877,80.27391,221.12823,0.1880632
39,2521.5132,22.529207,271.92212,0.19983591
40,1705.3458,164.49864,362.1347,3.9312718
41,2069.105,129.76968,245.38538,0.5260544
