,Al,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,PhaseType,TestTempC,Strain Rate (s-1),Arc Melting,HIP Time (h),Anneal Temp (degC),Anneal Time (h),Anneal Cooling Rate (degC/min)
318,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.25,-0.038889609073503195,-0.6954595445141915,-0.040043147377907644,0.1901172751573431,-0.545943765584286,1.1899169400262708,0.4189069615695799,-0.28196095668781324
210,0.0,0.24999999970625,0.125000000440625,0.0,0.0,0.24999999970625,0.125000000440625,0.24999999970625,0.0,1.967814219119258,-0.6954595445141915,-0.040043147377907644,-5.259911279353167,-0.545943765584286,-1.031678007972611,-0.563621685894546,-0.28196095668781324
204,0.0,0.25,0.125,0.0,0.0,0.25,0.125,0.25,0.0,1.967814219119258,-0.6954595445141915,-0.040043147377907644,-5.259911279353167,-0.545943765584286,-1.031678007972611,-0.563621685894546,-0.28196095668781324
55,0.1,0.4,0.1,0.2,0.0,0.2,0.0,0.0,0.0,0.9644623050228774,-0.6954595445141915,-0.18477290924127465,0.1901172751573431,-0.545943765584286,0.8667758566809789,0.6774671319548762,-0.28196095668781324
125,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.9644623050228774,-0.6954595445141915,-0.040043147377907644,0.1901172751573431,-0.545943765584286,-1.031678007972611,-0.563621685894546,-0.28196095668781324
127,0.0,0.0625000004921875,0.0,0.31249999983593746,0.0,0.31249999983593746,0.31249999983593746,0.0,0.0,0.9644623050228774,-0.6954595445141915,-0.040043147377907644,0.1901172751573431,-0.545943765584286,-1.031678007972611,-0.563621685894546,-0.28196095668781324
15,0.2,0.2,0.0,0.0,0.2,0.2,0.1,0.0,0.1,0.2955610289586237,1.5431326813547923,-0.040043147377907644,0.1901172751573431,3.160727063909024,1.1899169400262708,-0.25334948143219044,0.17892301965187138
10,0.05882352894117646,0.23529411776470585,0.0,0.0,0.23529411776470585,0.23529411776470585,0.0,0.0,0.23529411776470585,0.2955610289586237,-0.6954595445141915,-0.040043147377907644,0.1901172751573431,3.160727063909024,1.1899169400262708,-0.25334948143219044,0.17892301965187138
64,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.2727272727272727,0.0,0.1818181818181818,0.0,0.0,0.0,0.9644623050228774,-0.6954595445141915,-0.18477290924127465,0.1901172751573431,-0.545943765584286,0.8667758566809789,0.6774671319548762,3.8659948303693485
258,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.2,-0.038889609073503195,-0.6954595445141915,0.6032002386815012,0.1901172751573431,-0.545943765584286,-1.031678007972611,-0.563621685894546,-0.28196095668781324
