,Al,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,PhaseType,TestTempC,Strain Rate (s-1),Arc Melting,HIP Time (h),Anneal Temp (degC),Anneal Time (h),Anneal Cooling Rate (degC/min)
211,0.0,0.24999999970625,0.125000000440625,0.0,0.0,0.24999999970625,0.125000000440625,0.24999999970625,0.0,1.8398436079124334,1.7444759872024491,-0.022235553920505628,-3.2905297760233916,-0.48630479722355274,-1.0352417904733107,-0.6055266155780821,-0.22572100252917138
208,0.0,0.25,0.125,0.0,0.0,0.25,0.125,0.25,0.0,1.8398436079124334,1.7444759872024491,-0.022235553920505628,-3.2905297760233916,-0.48630479722355274,-1.0352417904733107,-0.6055266155780821,-0.22572100252917138
233,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,1.8398436079124334,1.311967115474019,-0.022235553920505628,-3.2905297760233916,-0.48630479722355274,-1.0352417904733107,-0.6055266155780821,-0.22572100252917138
209,0.0,0.25,0.125,0.0,0.0,0.25,0.125,0.25,0.0,1.8398436079124334,1.311967115474019,-0.022235553920505628,-3.2905297760233916,-0.48630479722355274,-1.0352417904733107,-0.6055266155780821,-0.22572100252917138
238,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0,1.1755632315819444,0.8794582437455889,-0.022235553920505628,-3.2905297760233916,-0.48630479722355274,0.7037676544218688,-0.3787539019831625,-0.22572100252917138
234,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,1.8398436079124334,0.8794582437455889,-0.022235553920505628,-3.2905297760233916,-0.48630479722355274,-1.0352417904733107,-0.6055266155780821,-0.22572100252917138
309,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.25,-0.15299752107903378,1.7444759872024491,-0.022235553920505628,0.3039024315435615,-0.48630479722355274,-1.0352417904733107,-0.6055266155780821,-0.22572100252917138
143,0.0,0.2,0.0,0.2,0.2,0.2,0.1,0.0,0.1,-1.8136984619052563,0.8794582437455889,-0.022235553920505628,0.3039024315435615,2.546468756370603,1.2699567760156483,-0.4354470803818924,0.2974733741940735
258,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.2,-0.15299752107903378,-0.7965136342020777,0.7183378300415691,0.3039024315435615,-0.48630479722355274,-1.0352417904733107,-0.6055266155780821,-0.22572100252917138
304,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.2,-0.15299752107903378,1.7444759872024491,-0.022235553920505628,0.3039024315435615,-0.48630479722355274,-1.0352417904733107,-0.6055266155780821,-0.22572100252917138
