Model,R2_train_mean,R2_train_std,R2_test_mean,R2_test_std,MAE_train_mean,MAE_train_std,MAE_test_mean,MAE_test_std,MSE_train_mean,MSE_train_std,MSE_test_mean,MSE_test_std
Linear Regression,0.0975097268000386,0.03249118034559969,0.022869737168033977,0.14799021275599797,14.849146484937354,0.4790704889294944,15.509987915953676,1.2010225898177356,304.54856450096065,12.78342513089661,328.47237855352444,56.139939637430544
Ridge Regression,0.08072905747099605,0.027532006152105645,0.031079090204714954,0.08423170779414522,15.312889815214143,0.3223141197291823,15.730826180529556,0.8640678062229951,310.20470460741734,11.248709689208503,325.5451602913193,37.85744631597663
Lasso Regression,0.06494009287038412,0.032461396176832386,0.007360347437665138,0.08334458546534822,15.474945554935953,0.40215324219384163,15.946963255846512,0.7693227039059998,315.54330427956654,12.992437145290939,333.2689758798979,35.92758278335882
Elastic Net Regression,0.02326477953664907,0.008981497505759835,0.00554723925120002,0.01669036442535821,15.961914898467967,0.18700263736329048,16.075301682677832,0.6678151431416353,329.5843993541246,6.761430933836546,333.902288161875,24.6199911527623
SVR,-0.021445728461204117,0.028222829973889394,-0.08998533957497294,0.0981780714418504,14.504398333023698,0.3680632103634887,15.263845602830349,1.1053744984326481,344.62048292997116,9.732661068891476,366.20600441489097,44.767616700682815
NuSVR,0.062265849120075004,0.015545121404486972,0.0219263797231777,0.044899136469320616,15.83938121542091,0.2168619900572749,16.092183219271256,0.660708418307199,316.4331961119488,8.199104355096148,328.466833562436,28.27760763108701
Linear SVR,-0.17207481582296538,0.022414251316177063,-0.19263945314693984,0.08914878018854273,15.365846779356588,0.2419450973577596,15.535534743551327,1.0600953102890665,395.4989334384068,10.432655127501091,400.47979566712763,43.34497986396302
Decision Tree Regression,0.5024706227403997,0.012922779379090645,-0.24761981774132497,0.057318547085676436,8.887348440585882,0.19764137366565473,15.549334873902325,1.4305003630404354,167.85815264737047,4.409305850417107,418.7240269172292,33.867331480778645
K-Nearest Neighbors Regression,0.3447101784561149,0.020131125024976323,-6.794426436096401e-05,0.1405214717944061,11.326660925847756,0.22999714606558383,14.802285520361991,1.259287756413051,221.02020321917362,4.454570519727928,335.79538298129717,52.497712978456775
Kernel Ridge Regression,0.08597148645295682,0.027976559554130136,0.03789533228128252,0.09171423449648279,15.13829390220926,0.33437460562242133,15.543101107110436,0.9262461500443342,308.43366219505157,11.300484682436416,323.16212662840246,38.85516323659946
MLP Regression,0.04448524540009953,0.03400872285727526,-0.0018363578391863643,0.05151551035222554,15.57681019518306,0.3346388558456538,15.959177193708143,0.6562475504452416,322.3586720197718,11.1665838821686,336.5821201114284,31.743578926481813
Passive Aggressive Regression,-0.05959324303785281,0.06949643115586432,-0.1545328933204606,0.21819097472265658,14.48006849450503,0.6083149480780828,15.332007218544405,1.7752493537435552,357.46772266014307,23.53624245137177,388.09765091425055,78.97417301123666
RANSAC Regression,-0.46629493863273064,0.0766375051809012,-0.4409551643787534,0.1852103665134969,15.882796275840544,0.34403545584285783,15.759999138957971,1.5289913209328758,494.8375982496856,28.39044040731634,485.73999575488705,82.2365041926957
Huber Regression,0.06488453638416443,0.03245355086971568,-0.006706163272726151,0.20857433796379968,14.184238975807688,0.54276643956198,14.844187101292462,1.6793355224787163,315.553494416714,12.77909426127007,338.742044763629,76.09742827376957
Tweedie Regression,0.0040272958886003575,0.0013579164738220016,-0.00581531597978846,0.009952857055497257,16.12163587891518,0.18891072126468053,16.175847023142033,0.6850559168081154,336.0724770365975,5.97120437428361,337.6910224182114,24.275471724061443
Poisson Regression,0.02964862461886064,0.010184047401408484,0.0094942250559646,0.021358807662875175,15.90366700689295,0.19086460137510877,16.037498262678234,0.6745395673953145,327.432673753212,7.036594733151276,332.6216159756933,25.479350302106532
Theil-Sen Regression,0.08174636655383823,0.03306423935561329,-0.0016844542929786766,0.16423371833229303,14.986142777565675,0.4861123384822524,15.630662574098114,1.122042716719149,309.87783831650177,13.242401273139416,336.30175581585144,59.17971744143755
Deep Neural Network Regression,0.4943498491278026,0.011350623179996588,-0.12944890161672262,0.02276120116587374,9.451500341135018,0.24646033262583883,14.740313168569568,1.2099579090446633,170.6148456024709,4.556644025864371,379.159702468053,27.704287392791223
