Model,R2_train_mean,R2_train_std,R2_test_mean,R2_test_std,MAE_train_mean,MAE_train_std,MAE_test_mean,MAE_test_std,MSE_train_mean,MSE_train_std,MSE_test_mean,MSE_test_std
Linear Regression,0.6791687903927516,0.03335000634653817,0.5564118972097115,0.12759498404925582,61.58530642287044,3.094253936360892,68.75364273787152,7.999876074734171,5538.437670882333,367.9189408141081,7174.2655330704265,1969.909681576099
Ridge Regression,0.5160071348581285,0.0323864423470307,0.46210520076529826,0.07162325840718015,73.29118786064859,2.217042147366604,75.2940724719771,11.845661440633982,8363.520575687126,218.40654981786886,8976.68087856856,2089.9432968037045
Lasso Regression,0.6785446150719363,0.033350756081193283,0.5645277901534184,0.1241355761563077,61.94683195050028,3.1117630570477126,68.3321018231783,8.066263549483367,5549.233378089413,367.4597224297186,7049.009201519793,1892.9496279340756
Elastic Net Regression,0.28571356255483404,0.02498649511189797,0.2512744246217697,0.04854565576733904,83.2249900367211,2.698468624562556,84.07146382269131,12.755065393607978,12370.307725734561,541.8111727038131,12731.158815310575,3646.0105880947867
SVR,0.031234732628427197,0.006819915239221515,0.021592929620688463,0.012870203159408573,90.65239453370907,3.4084028980385335,91.09131841484908,13.982178168366136,16821.94195460573,1283.9059984633298,16809.88645263557,5129.652742476405
NuSVR,0.02343376721498418,0.009815256789596001,0.013289869995104975,0.022122557819664358,91.36665213485477,3.1496769216660048,91.39676015813379,14.240840183882504,16953.51581290373,1246.8485897812977,16999.215708381187,5363.319762556258
Linear SVR,-10.189378786926763,0.6696560210353817,-11.03457746693413,2.806920919476365,419.3508366827121,2.76984562553252,419.20160641273196,12.673212384947053,193404.33085735427,3567.3445303819412,193210.54770916404,15611.332472071914
Decision Tree Regression,0.9142537048488437,0.015474857296026195,0.40379260283487584,0.2743130806985971,17.820126246246247,2.7038770513713084,68.97673343079923,12.267079615591445,1473.2803623753753,205.17397181565988,9692.897221942414,4260.418238136556
K-Nearest Neighbors Regression,0.7429090545813553,0.04408476153691477,0.5106146827870248,0.308319239966147,50.926750990990996,1.6500326095410531,68.817567251462,14.513299279005151,4408.353031250451,383.10199391250364,7428.808975906434,2761.8663616894232
Kernel Ridge Regression,0.18043623661771274,0.05864442015430387,0.08994299188517285,0.16152800383504226,91.52271550062811,1.5482898207734763,94.03867446902197,13.775903186991215,14154.758994585278,250.79485711346513,15232.509563718235,4264.058212445291
MLP Regression,-5.767733606063009,0.32859677389676645,-6.238122879245568,1.5851812800033394,315.81409633485003,3.850385244421153,315.60732381498264,11.799574813873036,117085.95557499604,3663.166107134208,116863.92523515967,12317.006957845779
Passive Aggressive Regression,0.5176605174902048,0.03877462856632504,0.446769586078757,0.1473831337669041,70.82026325071158,3.140783459773432,76.51331451023128,7.521600029927451,8371.4951119868,901.7189212687693,8932.637224098513,1590.0972003199327
RANSAC Regression,0.08213979825896656,0.544686185714164,-0.22972173990851638,0.4569669611112701,76.16483552292688,11.757880981273178,101.00369309736098,27.927317358191118,15316.375655798058,7501.915021824239,22502.94170745762,14903.595555439333
Huber Regression,0.6700939044455765,0.03480564815263377,0.5395482661287427,0.15358118909169627,59.985795349435975,2.5103158638116683,68.34948699930604,9.675287803728667,5698.064487631626,440.1870357875968,7451.586884713508,2552.6778138818095
Tweedie Regression,0.044734726389274934,0.005105256271015769,0.028516761730399763,0.015270157818173325,91.69955751196383,3.664299107119362,91.57312313031446,13.351369340901309,16579.156235922874,1157.1824970420691,16652.252983983257,4977.85569874134
Poisson Regression,0.6683777229499426,0.03272085448079983,0.5689798078684868,0.10891441700490183,63.375532372748374,2.862096448426752,68.81229690633528,6.982232524455113,5722.643210683957,296.9897412067217,6903.255076918487,1066.910909399231
Theil-Sen Regression,0.5624950973788534,0.059468833376307005,0.46006325025425393,0.1497104278377933,66.88596537931147,1.9284655505883492,73.70472166473434,8.188154556597146,7532.150374283736,581.908866387878,8844.440325723768,2262.282833116669
Deep Neural Network Regression,0.902092784046277,0.01283607161581794,0.6443432314303366,0.2200036500526866,25.7466205834741,1.742138668640104,56.70207236842106,11.802135867932389,1686.4405498336896,150.06189384408486,5264.836514148205,1880.6082197124967
