Model,R2_train_mean,R2_train_std,R2_test_mean,R2_test_std,MAE_train_mean,MAE_train_std,MAE_test_mean,MAE_test_std,MSE_train_mean,MSE_train_std,MSE_test_mean,MSE_test_std
Linear Regression,0.5020257305598623,0.14301145237745988,-1.7146988839708883,1.681208012321822,3.2164045734239672,0.57527345511319,5.565277502926837,1.3640483610092158,25.846105721247955,9.00886627457117,66.63963551530615,41.33057618111
Ridge Regression,0.22556765333029016,0.09949037905125278,-0.9344400797781555,1.8575873191361538,4.554947509970987,0.7012468906060195,5.050621295457335,1.7001777272328016,39.63747975743069,10.380415984885802,51.588458801832,47.489365595028794
Lasso Regression,0.3720136742887211,0.16471353570278746,-0.6031392780490636,0.7990220034586247,3.9008229921153736,0.7423052475457453,4.877812991678505,1.6321526229252072,32.319314972802985,10.423578249649552,54.385630164400254,47.28232367786593
Elastic Net Regression,0.13525144149851048,0.06480005820749785,-1.1456240433659681,2.22242582868571,4.866493927411927,0.7031333435038865,5.21333804547872,1.6492618517815762,44.03516468790262,10.485432327108732,52.862964846309275,46.79069997464844
SVR,-0.06156641362900994,0.07866387560266594,-0.17739160647631827,0.1527137489783696,3.353918404022,0.5304174201853569,3.5900329150091297,2.176124341639119,54.17698988924917,13.354831816278784,57.901863054564465,57.01050995425988
NuSVR,0.06271881721437571,0.06119452386381098,-0.7868932473945467,1.4061598487321398,4.029735896870873,0.9417104370500043,4.480252401777823,1.6547084405185415,47.52928263118514,10.990494435645354,55.647946061643346,54.57166844254096
Linear SVR,-0.20585897487304972,0.034038454438964284,-0.28371911024744106,0.1756884158735395,3.6874910857117618,0.5598701361207277,3.789016809276048,2.253156514154596,61.20310034906804,13.965988428560285,62.725836591024496,58.77135923597603
Decision Tree Regression,0.5841760286990363,0.18450057032833075,-1.2230902236358754,1.4857269744940322,2.304870563257858,0.7560294280301333,5.278339974876535,2.227916615670659,21.902744387948008,9.67241033787574,68.60962534501498,49.43954119068162
K-Nearest Neighbors Regression,0.3924087147961054,0.13475263334531132,-0.23130769704701595,0.3397086248418631,3.1728724302918008,0.6657748865666842,4.032793518644999,1.9872020356559628,31.343721610515892,9.65274710950173,52.982622527275865,52.55902715873317
Kernel Ridge Regression,0.18120622049407298,0.0911815655347089,-0.43688452678629697,0.8405380857336818,4.214487508553552,0.6945672858737316,4.687161543019273,1.8633989847372785,41.869090083818094,10.728748886613724,53.488856437027565,52.60363890601698
MLP Regression,0.4767362777881122,0.1602354509718104,-0.30254491685496554,0.5601341183010733,3.4235407588958218,0.670952407515641,4.533247038284635,1.4971680550855664,27.240188279836786,9.835476441966655,46.30290694076428,46.20195369606264
Passive Aggressive Regression,0.26218985575257686,0.1748356085855581,-0.2758935460959192,0.46208940450777664,3.1160109229287043,0.5284938023698101,3.976691020977602,1.963681369634927,38.3033198575814,12.839511569215952,50.41660481959054,47.90552285835693
RANSAC Regression,0.08656048383972792,0.2738280805090053,-0.2252929361932373,0.5127725356138162,2.7712236234016556,0.5955935732148022,3.436697533561896,1.9979671109179757,45.91185480480631,13.882121478535087,49.77050022291952,53.143276798897034
Huber Regression,0.2960837976782703,0.20975677914949747,-0.6940443823408391,1.1244237294357429,2.4394520251144995,0.5239601097309293,3.93107537908568,1.920744773010724,36.29517073291278,12.27426015007531,57.37124580107329,51.11833778483712
Tweedie Regression,0.024420690506972507,0.011519857605185955,-1.4115088674097203,2.6759655027056177,5.182939831436768,0.7228764989077903,5.346935485338402,1.6310385912369483,49.40812585527615,10.757159708515342,54.03744243610303,45.47235743861448
Poisson Regression,0.047707682041128255,0.018083283038818673,-1.346935643610477,2.566022000774506,5.117522063134307,0.7000861937183279,5.322929790293456,1.6451189794957632,48.20779231827202,10.386835063019259,53.776640010426675,45.76385861052887
Theil-Sen Regression,0.42384770447143405,0.13356921314634118,-0.32170120487519,0.5486648305685278,3.440575851325403,0.6158963909893577,4.430180450460557,1.6049211384443451,29.751036599065895,9.358512079858327,48.014600293613526,47.63903758406214
Deep Neural Network Regression,0.5412614369669269,0.18866710276902576,-0.6514695797898153,0.6528092014482025,2.6934149813777783,0.7887257913129982,4.631733025441044,1.718266026372581,24.262105057925456,10.370522474683082,54.11301648542134,47.34082926811856
