Model,R2_train_mean,R2_train_std,R2_test_mean,R2_test_std,MAE_train_mean,MAE_train_std,MAE_test_mean,MAE_test_std,MSE_train_mean,MSE_train_std,MSE_test_mean,MSE_test_std
Linear Regression,0.08131337313139977,0.014592499435369003,-0.04255811279274433,0.10720572677967012,408.2817691017194,8.964488379064136,428.86252441195137,37.859487468753734,259312.43552784924,8403.106261928055,284034.9808849966,39707.980401220426
Ridge Regression,0.07065290302918366,0.011146501730616909,-0.029966690985737364,0.07384285291686549,414.48815297340013,7.956536023855707,430.64109668291087,33.26406242687716,262314.6650377543,7812.904525238181,280393.75898547505,32043.393342628293
Lasso Regression,0.08126915658288136,0.014591147813950994,-0.04218233216248317,0.10536743916510785,408.63482290253495,8.888897507926682,429.1145615120751,37.713667178272004,259324.910387469,8403.035471347072,283919.98607088823,39267.19239297212
Elastic Net Regression,0.020944333972990826,0.0020178600393256987,-0.05091228275364827,0.04880445901506728,427.86858009030675,7.6592011932248525,437.78144989184676,31.321455095251032,276313.6932776083,6258.194310959297,285829.89959998487,26400.661587163897
SVR,0.004310659901230074,0.0020107229429196824,-0.06785602000608734,0.06619814003760617,430.3455561248814,8.014682363313993,441.3698233112191,35.708931563822276,280993.624188966,5687.285122222204,290697.865187107,31884.422518918298
NuSVR,0.004551049815895225,0.0005559543405367312,-0.06614847967254178,0.053970457911425615,431.33304043097394,8.257228646916008,441.46349286766906,32.588223906098364,280930.1501547263,5865.639189052196,290048.18026906985,28196.99304590943
Linear SVR,-2.1965205059855264,0.10822140037309358,-2.310560485378569,0.5547721384311813,806.5599752767688,22.866533539343056,807.1655197726402,104.67724486895142,902329.4722300812,40772.947704934384,903830.6897388615,188621.76888190256
Decision Tree Regression,0.42629697420298546,0.0326112711159817,-0.23108279710665683,0.2589051638086528,287.9376581594758,13.708140152820054,439.0246452519565,55.99569304748892,162032.65053701805,11698.444363605628,335875.0298557754,80203.33217495364
K-Nearest Neighbors Regression,0.26867898771975246,0.027434561866545155,-0.09088747113302789,0.13508373102894086,353.38253589913734,7.475450473721168,428.4951270247228,29.74641200621793,206336.6292015013,7464.906149413882,296883.3634729412,45174.69605870825
Kernel Ridge Regression,0.056895530701013164,0.00826990596152088,-0.041946130628036385,0.07704059908512308,416.9608364109839,7.27358887589469,431.4902565300184,32.20733414837053,266194.7572198873,7500.804134859207,283805.7740859518,34589.37764281329
MLP Regression,-0.5627082142007127,0.06753403812371482,-0.6157199752006279,0.29650538638251656,536.0244585118787,19.47285907773823,536.4349874878735,77.6979280106993,441251.98771723185,25351.83843215009,441741.50923164235,100537.63287543095
Passive Aggressive Regression,0.046146779183298306,0.006713874181226819,-0.04900909214137557,0.07832915355080657,406.80165035973044,9.157979014456807,423.97381039321345,30.6755807246482,269214.20453565614,6886.336021466251,285634.43165317876,34059.484724276306
RANSAC Regression,-0.19905759246461519,0.18507278836345747,-0.37165822896438455,0.17474195973380469,440.5658540114312,34.42387651941969,470.74836855052615,39.339031974662305,339354.29207226285,59489.036414045884,371787.80435397936,48192.584875384055
Huber Regression,0.07190160586248565,0.014926978937291738,-0.05851476489180145,0.11438634300697985,401.8528078662655,9.743398077490562,425.1692491568977,40.053561220419894,261957.13011817407,8132.487552490753,288444.27162945765,41996.200454483864
Tweedie Regression,0.002807278734757124,0.0002449811564670776,-0.062297180115194674,0.04566901601203295,432.2389315359487,8.118348926896214,440.7140449899374,30.731732549025182,281422.5911061598,5891.721105465903,288877.75158593815,25707.842165968716
Poisson Regression,0.08116047741948804,0.014779713617871313,-0.03559167293484553,0.09192598293908795,409.83520499710056,8.555939142533488,428.73706516447294,35.49137197594112,259358.80449378904,8534.194065367077,282101.64628593344,36552.3274217952
Theil-Sen Regression,0.045865409016928996,0.01123518077076221,-0.06841973391174028,0.0635384580608671,406.3404987914989,9.771981763739184,423.89969020548796,30.961433549354552,269296.1451728841,7481.631889935694,290798.2028150362,30679.37712170351
Deep Neural Network Regression,0.41588911990144883,0.030369973175869723,-0.1661095652642326,0.2543964889419128,300.98329651784513,12.805317289744673,427.3599034385323,55.80501979291042,164965.94286518884,11182.103839927824,318468.39402249816,79818.74583580511
